Date,Open,High,Low,Close,Adj Close,Volume
2023-10-27,24.950001,25.030001,24.264999,24.400000,23.356052,20337800
2023-10-30,24.500000,24.610001,24.110001,24.230000,23.193327,18010200
2023-10-31,24.240000,24.424999,23.889999,24.174999,23.140680,14087400
2023-11-01,24.180000,24.370001,24.040001,24.200001,23.164610,21810000
2023-11-03,24.475000,25.230000,24.424999,25.049999,23.978243,24765400
2023-11-06,25.145000,25.325001,25.000000,25.225000,24.145754,12216800
2023-11-07,25.225000,25.594999,25.065001,25.510000,24.418564,29055000
2023-11-08,25.540001,25.870001,25.510000,25.834999,24.729658,18976000
2023-11-09,25.500000,25.680000,24.610001,24.754999,23.695866,62427200
2023-11-10,24.885000,25.195000,24.730000,25.120001,24.045250,17832400
2023-11-13,25.049999,25.145000,24.915001,25.025000,23.954313,9641600
2023-11-14,25.090000,25.469999,24.985001,25.145000,24.069181,37860000
2023-11-16,25.150000,25.240000,24.930000,25.139999,24.064394,34225200
2023-11-17,25.139999,25.480000,25.110001,25.330000,24.246264,24494200
2023-11-20,25.469999,25.650000,25.145000,25.465000,24.375488,15070600
2023-11-21,25.465000,25.709999,25.385000,25.645000,24.547787,20642000
2023-11-22,25.299999,25.680000,25.299999,25.424999,24.385689,16195600
2023-11-23,25.400000,25.740000,25.400000,25.510000,24.467216,8247600
2023-11-24,25.535000,25.639999,25.350000,25.480000,24.438442,8815000
2023-11-27,25.575001,25.990000,25.535000,25.950001,24.889231,22614400
2023-11-28,25.985001,26.400000,25.980000,26.325001,25.248899,19633200
2023-11-29,26.385000,26.525000,26.180000,26.365000,25.287264,21020000
2023-11-30,26.365000,27.190001,26.365000,27.135000,26.025789,35416400
2023-12-01,27.174999,27.400000,26.940001,27.190001,26.078543,18946400
2023-12-04,27.150000,27.405001,26.980000,27.084999,25.977831,13915800
2023-12-05,27.080000,27.270000,27.004999,27.084999,25.977831,11725800
2023-12-06,27.190001,27.240000,26.450001,26.504999,25.421541,17640200
2023-12-07,26.500000,26.945000,26.500000,26.934999,25.833963,11561400
2023-12-08,26.950001,27.299999,26.830000,27.225000,26.112110,20784200
2023-12-11,27.225000,27.355000,27.035000,27.219999,26.107315,11474000
2023-12-12,26.900000,26.900000,26.205000,26.250000,25.336275,25063600
2023-12-13,26.235001,26.629999,25.820000,26.490000,25.567921,36160000
2023-12-14,26.750000,26.780001,26.200001,26.665001,25.736830,36873200
2023-12-15,26.625000,27.305000,26.410000,27.305000,26.354551,36441400
2023-12-18,27.334999,27.514999,27.084999,27.325001,26.373856,15518200
2023-12-19,27.285000,27.459999,27.150000,27.424999,26.470373,15467000
2023-12-20,27.424999,27.500000,27.030001,27.105000,26.161512,15653800
2023-12-21,27.400000,27.400000,26.945000,27.145000,26.200121,20008000
2023-12-22,27.250000,27.309999,27.035000,27.219999,26.272511,14606400
2023-12-26,27.219999,27.480000,27.150000,27.469999,26.513805,7966400
2023-12-27,27.400000,27.485001,27.290001,27.430000,26.475201,6745000
2023-12-28,27.430000,27.695000,27.344999,27.695000,26.730976,11680800
2024-01-02,27.559999,27.639999,27.225000,27.379999,26.426939,16341000
2024-01-03,27.340000,27.535000,27.250000,27.405001,26.451073,16296800
2024-01-04,27.375000,27.450001,27.059999,27.115000,26.171164,16199800
